USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
USA Total,"367,650",+646,"10,943",+72,"336,897","1,111",33,"1,933,423","5,841", 
"
New York ","131,916 ","
","
4,758 ", ,"
113,792 ","6,724",243,"
320,811 ","16,353","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
New Jersey ","41,090 ","
","
1,003 ", ,"
39,995 ","4,626",113,"
89,032 ","10,024","
[1] [2]  "
"
Michigan ","17,221 ","
","
727 ", ,"
16,425 ","1,729",73,"
45,748 ","4,594","
[1] [2] [3]  "
"
California ","16,363 ","
+344 ","
387 ",+7 ,"
15,076 ",418,10,"
129,700 ","3,313","
[1] [2]  "
"
Louisiana ","14,867 ","
","
512 ", ,"
14,305 ","3,188",110,"
69,166 ","14,831","
[1]  "
"
Massachusetts ","13,837 ","
","
260  ", ,"
13,567 ","2,026",38,"
76,429 ","11,190","
[1] [2]  "
"
Florida ","13,629 ","
","
254 ", ,"
13,275 ",662,12,"
126,048 ","6,119","
[1] [2]  "
"
Pennsylvania ","13,127 ","
","
179 ", ,"
12,872 ","1,026",14,"
83,854 ","6,556","
[1] [2] [3] [4]  "
"
Illinois ","12,262 ","
","
307 ", ,"
11,905 ",956,24,"
62,942 ","4,909","
[1] [2] [3] [4]  "
"
Washington ","8,384 ","
+58 ","
381 ", ,"
7,164 ","1,149",52,"
91,375 ","12,527","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
"
Texas ","8,088 ","
","
151 ", ,"
7,179 ",290,5,"
85,357 ","3,061","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
Georgia ","7,558 ","
+244 ","
294 ",+65 ,"
7,233 ",734,29,"
31,274 ","3,037","
[1] [2] [3]  "
"
Connecticut ","6,906 ","
","
206 ", ,"
6,650 ","1,928",58,"
26,686 ","7,451","
[1] [2] [3]  "
"
Colorado ","5,172 ","
","
150 ", ,"
4,982 ",935,27,"
26,875 ","4,859","
[1]  "
"
Indiana ","4,944 ","
","
139 ", ,"
4,791 ",745,21,"
26,191 ","3,946","
[1] [2]  "
"
Ohio ","4,450  ","
","
142 ", ,"
4,308 ",382,12,"
48,378 ","4,156","
[1]  "
"
Maryland ","4,045 ","
","
91 ", ,"
3,770 ",674,15,"
29,617 ","4,933","
[1]  "
"
Tennessee ","3,802 ","
","
65 ", ,"
3,381 ",572,10,"
47,350 ","7,119","
[1] [2] [3] [4]  "
"
North Carolina ","3,039 ","
","
48 ", ,"
2,905 ",299,5,"
40,726 ","4,010","
[1] [2]  "
"
Virginia ","2,878 ","
","
54 ", ,"
2,822 ",342,6,"
24,521 ","2,914","
[1]  "
"
Missouri ","2,722 ","
","
52 ", ,"
2,658 ",447,9,"
27,173 ","4,462","
[1] [2] [3] [4]  "
"
Arizona ","2,456 ","
","
65 ", ,"
2,371 ",354,9,"
32,534 ","4,683","
[1]  "
"
Wisconsin ","2,440 ","
","
77 ", ,"
2,361 ",422,13,"
29,014 ","5,021","
[1] [2] [3] [4]  "
"
South Carolina ","2,232 ","
","
48 ", ,"
2,184 ",450,10,"
21,384 ","4,315","
[1]  "
"
Alabama ","2,006 ","
","
52 ", ,"
1,934 ",412,11,"
14,765 ","3,035","
[1]  "
"
Nevada ","1,953 ","
","
46 ", ,"
1,871 ",668,16,"
20,756 ","7,101","
[1] [2] [3]  "
"
Mississippi ","1,738 ","
","
51 ", ,"
1,687 ",582,17,"
20,370 ","6,816","
[1]  "
"
Utah ","1,675 ","
","
13 ", ,"
1,636 ",550,4,"
33,394 ","10,966","
[1]  "
"
Oklahoma ","1,327 ","
","
51 ", ,"
754 ",339,13,"
2,751 ",702,"
[1] [2]  "
"
Idaho  ","1,170 ","
","
13 ", ,"
1,157 ",693,8,"
11,246 ","6,663","
[1] [2] [3]  "
"
Oregon ","1,132 ","
","
29 ", ,"
1,103 ",277,7,"
21,801 ","5,341","
[1] [2] [3]  "
"
District Of Columbia ","1,097 ","
","
24 ", ,"
815 ","1,603",35,"
7,453 ","10,888","
[1]  "
"
Rhode Island ","1,082 ","
","
27 ", ,"
1,045 ","1,024",26,"
8,481 ","8,027","
[1] [2]  "
"
Kentucky ","1,008 ","
","
59 ", ,"
643 ",227,13,"
19,955 ","4,494","
[1] [2]  "
"
Minnesota ",986 ,"
","
30 ", ,"
486 ",178,5,"
28,128 ","5,089","
[1] [2]  "
"
Iowa ",946 ,"
","
25 ", ,"
853 ",302,8,"
11,599 ","3,703","
[1] [2] [3] [4] [5]  "
"
Arkansas ",927 ,"
","
16 ", ,"
772 ",310,5,"
13,264 ","4,435","
[1] [2]  "
"
Kansas ",845 ,"
","
25 ", ,"
820 ",291,9,"
9,084 ","3,123","
[1] [2] [3] [4] [5]  "
"
Delaware ",783 ,"
","
15 ", ,"
697 ",825,16,"
7,632 ","8,038","
[1] [2] [3]  "
"
New Hampshire ",715 ,"
","
9 ", ,"
555 ",532,7,"
8,734 ","6,500","
[1] [2] [3]  "
"
New Mexico ",686 ,"
","
12 ", ,"
620 ",328,6,"
21,825 ","10,430","
[1]  "
"
Vermont ",543 ,"
","
23 ", ,"
520 ",869,37,"
6,633 ","10,613","
[1]  "
"
Maine ",499 ,"
","
10 ", ,"
331 ",374,8,"
6,544 ","4,910","
[1] [2]  "
"
Nebraska ",412 ,"
","
8 ", ,"
404 ",216,4,"
6,883 ","3,614","
[1] [2] [3]  "
"
Hawaii ",387 ,"
","
5 ", ,"
293 ",272,4,"
13,665 ","9,610","
[1] [2]  "
"
West Virginia ",345 ,"
","
4 ", ,"
341 ",189,2,"
9,940 ","5,435","
[1]  "
"
Montana ",319 ,"
","
6 ", ,"
281 ",306,6,"
6,985 ","6,705","
[1] [2] [3]  "
"
South Dakota ",288 ,"
","
4 ", ,"
193 ",333,5,"
6,020 ","6,965","
[1] [2]  "
"
North Dakota ",225 ,"
","
3 ", ,"
148 ",299,4,"
7,213 ","9,589","
[1]  "
"
Wyoming ",212 ,"
","
", ,"
160 ",364,,"
3,929 ","6,753","
[1] [2]  "
"
Alaska ",191 ,"
","
6 ", ,"
170 ",259,8,"
6,284 ","8,509","
[1] [2]  "
"
Guam ",112 ,"
","
 4 ", ,"
85 ",,,"
605 ",,"
[1] [2] [3]  "
"
Northern Mariana Islands ",8 ,"
","
1 ", ,"
7 ",,,"
33 ",,"
[1]  "
"
Puerto Rico ",513 ,"
","
21 ", ,"
488 ",151,6,"
4,951 ","1,462","
[1] [2]  "
"
United States Virgin Islands ",43 ,"
","
1 ", ,"
8 ",,,"
266 ",,"
[1]  "
"
 Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
3 ",,"
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ",,,"
46 ",,"
"
Total:,"367,650",+646,"10,943",+72,"336,897","1,111",33,"1,933,423","5,841", 
