USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
"
West Virginia ",282 ,"
","
2 ", ,"
280 ",154,1,"
7,686 ","4,202","
[1]  "
"
Montana ",281 ,"
","
6 ", ,"
275 ",270,6,"
6,519 ","6,258","
[1] [2] [3]  "
"
South Dakota ",212 ,"
","
2 ", ,"
134 ",245,2,"
5,224 ","6,044","
[1]  "
"
Wyoming ",187 ,"
","
", ,"
161 ",321,,"
3,132 ","5,383","
[1] [2]  "
"
North Dakota ",186 ,"
","
3 ", ,"
120 ",247,4,"
6,207 ","8,252","
[1]  "
"
Alaska ",171 ,"
","
5 ", ,"
166 ",232,7,"
6,016 ","8,146","
[1] [2]  "
"
Guam ",93 ,"
","
4 ", ,"
69 ",,,"
0 ",,"
[1] [2] [3]  "
"
Northern Mariana Islands ",8 ,"
","
1 ", ,"
7 ",,,"
33 ",,"
[1]  "
"
Puerto Rico ",452 ,"
","
18 ", ,"
430 ",133,5,"
4,190 ","1,237","
[1] [2]  "
"
United States Virgin Islands ",40 ,"
","
", ,"
6 ",,,"
266 ",,"
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
0 ",,"
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ",,,"
0 ",,"
"
Total:,"311,635",+278,"8,454",+2,"288,356",941,26,"1,632,955","4,933", 
