USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
"
New York ","103,476 ","
","
3,218 ", ,"
91,372 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
"
New Jersey ","29,895 ","
","
646 ", ,"
29,249 ","
[1] [2]  "
"
Michigan ","12,744 ","
","
479 ", ,"
12,260 ","
[1] [2]  "
"
California ","12,581 ","
+314 ","
285 ",+10 ,"
11,446 ","
[1] [2]  "
"
Massachusetts ","10,402 ","
","
192 ", ,"
10,200 ","
[1] [2]  "
"
Louisiana ","10,297 ","
","
370 ", ,"
9,907 ","
[1]  "
"
Florida ","10,268 ","
","
170 ", ,"
10,098 ","
[1] [2]  "
"
Illinois ","8,904 ","
","
210 ", ,"
8,692 ","
[1] [2] [3] [4]  "
"
Pennsylvania ","8,420 ","
","
102 ", ,"
8,280 ","
[1] [2] [3] [4]  "
"
Washington ","6,966 ","
","
291 ", ,"
6,112 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
"
Georgia ","5,967 ","
","
198 ", ,"
5,769 ","
[1] [2] [3]  "
"
Texas ","5,658 ","
","
97 ", ,"
5,311 ","
[1] [2] [3] [4]  "
"
Connecticut ","4,914 ","
","
131 ", ,"
4,783 ","
[1] [2] [3]  "
"
Colorado ","4,173 ","
","
111 ", ,"
4,062 ","
[1]  "
"
Indiana ","3,437 ","
","
102 ", ,"
3,335 ","
[1] [2]  "
"
Ohio ","3,312 ","
","
91 ", ,"
3,221 ","
[1]  "
"
Tennessee  ","3,194 ","
","
37 ", ,"
2,909 ","
[1] [2]  "
"
Maryland ","2,758 ","
","
42 ", ,"
2,557 ","
[1]  "
"
North Carolina ","2,287 ","
","
27 ", ,"
 2,240 ","
[1] [2]  "
"
Missouri ","2,113 ","
","
19 ", ,"
2,092 ","
[1]  "
"
Virginia ","2,012 ","
","
46 ", ,"
1,964 ","
[1]  "
"
Wisconsin ","1,916  ","
","
46 ", ,"
1,868 ","
[1] [2]  "
"
Arizona ","1,769 ","
","
41 ", ,"
1,725 ","
[1]  "
"
South Carolina ","1,700 ","
","
34 ", ,"
1,666 ","
[1]  "
"
Alabama ","1,515 ","
","
38 ", ,"
1,477 ","
[1]  "
"
Nevada ","1,514 ","
","
43 ", ,"
1,442 ","
[1] [2]  "
"
Mississippi ","1,358 ","
","
29 ", ,"
1,329 ","
[1]  "
"
Utah ","1,246 ","
","
7 ", ,"
1,239 ","
[1]  "
"
Idaho ","1,013 ","
","
10 ", ,"
1,003 ","
[1] [2]  "
"
Oklahoma ",988 ,"
","
38 ", ,"
949 ","
[1]  "
"
Oregon ",899 ,"
","
22 ", ,"
877 ","
[1] [2] [3]  "
"
Kentucky ",831 ,"
","
37 ", ,"
730 ","
[1] [2]  "
"
Minnesota ",789 ,"
","
22 ", ,"
479 ","
[1]  "
"
District Of Columbia ",757 ,"
","
15 ", ,"
569 ","
[1]  "
"
Arkansas ",738 ,"
","
12 ", ,"
651 ","
[1] [2]  "
"
Rhode Island ",711 ,"
","
14 ", ,"
697 ","
[1] [2] [3] [4]  "
"
Iowa ",699 ,"
","
11 ", ,"
670 ","
[1] [2] [3]  "
"
Kansas ",620 ,"
","
17 ", ,"
603 ","
[1] [2] [3]  "
"
New Hampshire ",540 ,"
","
7 ", ,"
389 ","
[1] [2] [3]  "
"
New Mexico ",495 ,"
","
10 ", ,"
485 ","
[1] [2]  "
"
Delaware ",450 ,"
","
14 ", ,"
365 ","
[1] [2] [3]  "
"
Maine ",432 ,"
","
9 ", ,"
310 ","
[1] [2]  "
"
Vermont ",389 ,"
","
17 ", ,"
372 ","
[1]  "
"
Hawaii ",319 ,"
","
3 ", ,"
258 ","
[1]  "
"
Nebraska ",279 ,"
","
6 ", ,"
273 ","
[1] [2] [3]  "
"
Montana ",262 ,"
","
6 ", ,"
 256 ","
[1] [2] [3]  "
"
West Virginia ",237 ,"
","
2 ", ,"
235 ","
[1]  "
"
South Dakota ",187 ,"
","
2 ", ,"
117 ","
[1]  "
"
 North Dakota ",173 ,"
","
3 ", ,"
115 ","
[1]  "
"
Wyoming ",166 ,"
","
", ,"
140 ","
[1] [2]  "
"
Alaska ",151 ,"
","
3 ", ,"
148 ","
[1] [2]  "
"
Guam ",82 ,"
","
4 ", ,"
71 ","
[1] [2] [3]  "
"
Northern Mariana Islands ",8 ,"
","
1 ", ,"
7 ","
[1]  "
"
Puerto Rico ",378 ,"
","
15 ", ,"
359 ","
[1] [2]  "
"
United States Virgin Islands ",37 ,"
","
", ,"
8 ","
[1]  "
"
 Wuhan Repatriated ",3 ,"
","
", ,"
3 ","
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ","
"
Total:,"277,475",314,"7,402",10,"257,790", 
