USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
"
New York ","59,648 ","
","
965 ", ,"
55,111 ","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
New Jersey ","13,386 ","
","
161 ", ,"
13,225 ","
[1]  "
"
California ","6,358 ","
+154 ","
132 ",+1 ,"
6,205 ","
[1] [2] [3] [4] [5] [6] [7]  "
"
Michigan ","5,486 ","
","
132 ", ,"
5,349 ","
[1] [2]  "
"
Massachusetts ","4,955 ","
","
48 ", ,"
4,906 ","
[1] [2]  "
"
Florida ","4,950 ","
","
60 ", ,"
4,890 ","
[1] [2]  "
"
Washington ","4,896 ","
","
200 ", ,"
4,276 ","
[1] [2] [3] [4] [5]  "
"
Illinois ","4,596 ","
","
65 ", ,"
4,529 ","
[1] [2] [3]  "
"
Louisiana ","3,540 ","
","
151 ", ,"
3,389 ","
[1] [2]  "
"
Pennsylvania ","3,419 ","
","
41 ", ,"
3,378 ","
[1] [2] [3]  "
"
Texas ","2,808 ","
","
38 ", ,"
2,701 ","
[1] [2]  "
"
Georgia ","2,683 ","
","
83 ", ,"
2,600 ","
[1] [2] [3]  "
"
Colorado ","2,307 ","
","
47 ", ,"
2,260 ","
[1]  "
"
Connecticut ","1,993 ","
","
34 ", ,"
1,959 ","
[1] [2] [3]  "
"
Tennessee ","1,818 ","
+98 ","
10 ",+3 ,"
1,756 ","
[1] [2] [3] [4] [5]  "
"
Ohio ","1,653 ","
","
29 ", ,"
1,624 ","
[1] [2]  "
"
Indiana ","1,514 ","
","
32  ", ,"
1,482 ","
[1]  "
"
Maryland ","1,239 ","
","
10 ", ,"
1,197 ","
[1] [2]  "
"
North Carolina ","1,167 ","
","
7 ", ,"
1,160 ","
[1] [2]  "
"
Wisconsin ","1,154 ","
","
17 ", ,"
1,135 ","
[1] [2]  "
"
Nevada ",920 ,"
","
15 ", ,"
905 ","
[1]  "
"
Arizona ",919 ,"
","
17 ", ,"
899 ","
[1]  "
"
Missouri ",903 ,"
","
12 ", ,"
889 ","
[1]  "
"
Virginia ",890 ,"
","
22 ", ,"
866 ","
[1]  "
"
Alabama ",827 ,"
","
9 ", ,"
818 ","
[1] [2]  "
"
South Carolina ",774 ,"
","
16 ", ,"
758 ","
[1]  "
"
Mississippi ",758 ,"
","
14 ", ,"
744 ","
[1]  "
"
Utah ",719 ,"
","
2 ", ,"
717 ","
[1]  "
"
Oregon ",548 ,"
","
13 ", ,"
535 ","
[1] [2] [3]  "
"
Minnesota ",503 ,"
","
9 ", ,"
360 ","
[1]  "
"
Arkansas ",449 ,"
+23 ","
6 ", ,"
415 ","
[1] [2]  "
"
Kentucky ",439 ,"
","
8 ", ,"
367 ","
[1]  "
"
Oklahoma ",429 ,"
","
16 ", ,"
412 ","
[1]  "
"
District Of Columbia ",401 ,"
","
9 ", ,"
341 ","
[1]  "
"
Iowa ",336 ,"
","
3 ", ,"
315 ","
[1]  "
"
Kansas ",319 ,"
","
6 ", ,"
313 ","
[1] [2]  "
"
Idaho ",310 ,"
","
6 ", ,"
304 ","
[1] [2]  "
"
Rhode Island ",294 ,"
","
3 ", ,"
291 ","
[1] [2]  "
"
New Hampshire ",258 ,"
","
3 ", ,"
255 ","
[1] [2]  "
"
Maine ",253 ,"
","
3 ", ,"
234 ","
[1] [2]  "
"
New Mexico ",237 ,"
","
2 ", ,"
235 ","
[1] [2]  "
"
Vermont ",235 ,"
","
12 ", ,"
223 ","
[1]  "
"
Delaware ",232 ,"
","
6 ", ,"
217 ","
[1] [2] [3]  "
"
Hawaii ",175 ,"
","
", ,"
175 ","
[1] [2]  "
"
Montana  ",161 ,"
","
1 ", ,"
160 ","
[1] [2]  "
"
West Virginia ",124 ,"
","
1 ", ,"
123 ","
[1] [2] [3]  "
"
Nebraska ",120 ,"
","
2  ", ,"
118 ","
[1] [2]  "
"
Alaska ",102 ,"
","
2 ", ,"
100 ","
[1] [2]  "
"
North Dakota ",98 ,"
","
1 ", ,"
79 ","
[1] [2]  "
"
South Dakota ",90 ,"
","
1 ", ,"
60 ","
[1]  "
"
Wyoming ",87 ,"
","
", ,"
87 ","
[1]  "
"
Guam ",56 ,"
","
1 ", ,"
48 ","
"
"
Northern Mariana Islands ",2 ,"
","
", ,"
2 ","
"
"
Puerto Rico ",127 ,"
","
5 ", ,"
121 ","
[1]  "
"
United States Virgin Islands ",21 ,"
","
", ,"
21 ","
[1] [2]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ","
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ","
"
Total:,"142,735",275,"2,488",4,"135,688", 
