USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
"
New York ","83,901 ","
","
2,219 ", ,"
75,540 ","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
New Jersey ","22,255 ","
","
355 ", ,"
21,900 ","
[1]  "
"
California ","9,936 ","
+129 ","
215 ",+5 ,"
8,871 ","
[1]  "
"
 Michigan ","9,334 ","
","
337 ", ,"
8,992 ","
[1] [2]  "
"
Florida ","7,773 ","
","
101 ", ,"
7,672 ","
[1] [2]  "
"
Massachusetts ","7,738 ","
","
122 ", ,"
7,606 ","
[1] [2]  "
"
Illinois ","6,980 ","
","
141 ", ,"
6,837 ","
[1] [2] [3]  "
"
Louisiana ","6,424 ","
","
273 ", ,"
6,151 ","
[1] [2]  "
"
Pennsylvania ","6,002 ","
","
74 ", ,"
5,890 ","
[1] [2] [3] [4]  "
"
Washington ","5,984 ","
+140 ","
254 ",+4 ,"
5,167 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13]  "
"
Georgia ","4,748 ","
","
154 ", ,"
4,594 ","
[1] [2] [3]  "
"
Texas ","4,068 ","
","
60 ", ,"
3,901  ","
[1] [2] [3]  "
"
Connecticut ","3,557 ","
","
85 ", ,"
3,472 ","
[1] [2] [3]  "
"
Colorado ","3,342 ","
","
80 ", ,"
3,262 ","
[1]  "
"
Tennessee ","2,683 ","
","
25 ", ,"
2,521 ","
[1] [2]  "
"
Indiana ","2,565 ","
","
65 ", ,"
2,500 ","
[1]  "
"
Ohio ","2,547 ","
","
65 ", ,"
2,482 ","
[1]  "
"
Maryland ","1,985 ","
","
31 ", ,"
1,885 ","
[1]  "
"
North Carolina ","1,717 ","
","
15 ", ,"
1,697 ","
[1] [2] [3]  "
"
Missouri ","1,581 ","
","
18 ", ,"
1,561 ","
[1]  "
"
Wisconsin ","1,550 ","
","
25 ", ,"
1,523 ","
[1] [2] [3]  "
"
Virginia ","1,484 ","
","
34 ", ,"
1,448 ","
[1]  "
"
Arizona ","1,413 ","
","
29 ", ,"
1,381 ","
[1]  "
"
South Carolina ","1,293 ","
","
26 ", ,"
1,267 ","
[1]  "
"
Nevada ","1,279 ","
","
26 ", ,"
1,253 ","
[1] [2]  "
"
Alabama ","1,108 ","
","
28 ", ,"
1,080 ","
[1] [2]  "
"
Mississippi ","1,073 ","
","
22 ", ,"
1,051 ","
[1]  "
"
Utah ","1,012 ","
","
7 ", ,"
1,005 ","
[1] [2]  "
"
Oregon ",736 ,"
","
19 ", ,"
717 ","
[1] [2] [3]  "
"
Oklahoma ",719 ,"
","
30 ", ,"
688 ","
[1]  "
"
Minnesota ",689 ,"
","
17 ", ,"
384 ","
[1]  "
"
Kentucky ",680 ,"
","
 20 ", ,"
596 ","
[1]  "
"
Idaho ",673 ,"
","
9 ", ,"
664 ","
[1] [2]  "
"
Arkansas ",624 ,"
+40 ","
10 ", ,"
572 ","
[1] [2]  "
"
District Of Columbia ",586 ,"
","
11 ", ,"
433 ","
[1]  "
"
Rhode Island ",566 ,"
","
10 ", ,"
556 ","
[1] [2] [3]  "
"
Iowa ",549 ,"
","
9 ", ,"
 522 ","
[1] [2] [3]  "
"
Kansas ",487 ,"
+5 ","
11 ",+1 ,"
476 ","
[1] [2] [3]  "
"
New Hampshire ",415 ,"
","
4 ", ,"
355 ","
[1] [2]  "
"
Delaware ",368 ,"
","
11 ", ,"
308 ","
[1] [2] [3]  "
"
New Mexico ",363 ,"
","
6 ", ,"
357 ","
[1] [2]  "
"
Maine ",344 ,"
","
7 ", ,"
257 ","
[1] [2]  "
"
Vermont ",321 ,"
","
16 ", ,"
305 ","
[1]  "
"
Hawaii ",258 ,"
","
1 ", ,"
 199 ","
[1]  "
"
Montana ",217 ,"
","
6 ", ,"
211 ","
[1] [2]  "
"
Nebraska ",210 ,"
","
4 ", ,"
206 ","
[1] [2] [3]  "
"
West Virginia ",191 ,"
","
2 ", ,"
189 ","
[1]  "
"
Alaska ",143 ,"
+10 ","
3 ", ,"
140 ","
[1] [2]  "
"
North Dakota ",142 ,"
","
3 ", ,"
105 ","
[1]  "
"
Wyoming ",137 ,"
","
", ,"
111 ","
[1] [2]  "
"
South Dakota ",129 ,"
","
2 ", ,"
76 ","
[1]  "
"
Guam ",77 ,"
","
3 ", ,"
67 ","
[1] [2]  "
"
Northern Mariana Islands ",6 ,"
","
1 ", ,"
5 ","
[1]  "
"
Puerto Rico ",303 ,"
+17  ","
11 ", ,"
288 ","
[1] [2] [3]  "
"
United States Virgin Islands ",30 ,"
","
", ,"
9 ","
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ","
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ","
"
Total:,"215,344",341,"5,112",10,"201,354", 
