USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
"
New York ","93,053 ","
","
2,538 ", ,"
83,081 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
"
New Jersey ","25,590 ","
","
537 ", ,"
25,053 ","
[1] [2]  "
"
California ","11,027 ","
+189 ","
239 ",+5 ,"
9,938 ","
[1]  "
"
Michigan ","10,791 ","
","
417 ", ,"
10,369 ","
[1] [2]  "
"
Louisiana ","9,150 ","
","
310 ", ,"
8,820 ","
[1]  "
"
Florida ","9,008 ","
","
144 ", ,"
8,864 ","
[1] [2]  "
"
Massachusetts ","8,966 ","
","
154 ", ,"
8,802 ","
[1] [2]  "
"
Illinois ","7,695 ","
","
157 ", ,"
7,536 ","
[1] [2] [3] [4]  "
"
Pennsylvania ","7,264 ","
","
90 ", ,"
7,136 ","
[1] [2] [3] [4]  "
"
Washington ","6,585 ","
","
272 ", ,"
5,750 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
"
Georgia ","5,444 ","
+96 ","
176 ",+13 ,"
5,268 ","
[1] [2] [3]  "
"
Texas ","4,823 ","
","
77 ", ,"
4,639 ","
[1] [2] [3]  "
"
Connecticut ","3,824 ","
","
112 ", ,"
3,712 ","
[1] [2] [3]  "
"
Colorado ","3,728 ","
","
97 ", ,"
3,631 ","
[1]  "
"
Tennessee ","3,194 ","
","
32 ", ,"
2,942 ","
[1] [2]  "
"
Indiana ","3,039 ","
","
78 ", ,"
2,961 ","
[1]  "
"
Ohio ","2,902 ","
","
81 ", ,"
2,821 ","
[1]  "
"
Maryland ","2,331 ","
","
36 ", ,"
2,214 ","
[1]  "
"
North Carolina ","2,023 ","
","
18 ", ,"
1,985 ","
[1] [2] [3]  "
"
Missouri ","1,834 ","
","
19 ", ,"
1,813 ","
[1]  "
"
Wisconsin ","1,730 ","
","
38 ", ,"
1,690 ","
[1] [2]  "
"
Virginia ","1,706 ","
","
41 ", ,"
1,663 ","
[1]  "
"
Arizona ","1,598 ","
","
32 ", ,"
1,563 ","
[1]  "
"
South Carolina ","1,554 ","
","
31 ", ,"
1,523 ","
[1]  "
"
Nevada ","1,458 ","
","
38 ", ,"
1,420 ","
[1] [2]  "
"
Alabama ","1,270 ","
+9 ","
32 ", ,"
1,238 ","
[1]  "
"
Mississippi ","1,177 ","
","
26 ", ,"
1,151 ","
[1]  "
"
Utah ","1,074 ","
","
7 ", ,"
1,067 ","
[1] [2]  "
"
Idaho ",891 ,"
","
9 ", ,"
882 ","
[1] [2]  "
"
Oklahoma ",879 ,"
","
34 ", ,"
844 ","
[1]  "
"
Oregon ",826 ,"
","
21 ", ,"
805 ","
[1] [2] [3]  "
"
Kentucky ",770 ,"
","
31 ", ,"
675 ","
[1] [2]  "
"
Minnesota ",742 ,"
","
18 ", ,"
436 ","
[1]  "
"
Arkansas ",683 ,"
","
12 ", ,"
621 ","
[1] [2]  "
"
Rhode Island ",657 ,"
","
12 ", ,"
645 ","
[1] [2] [3]  "
"
District Of Columbia ",653 ,"
","
12 ", ,"
468 ","
[1]  "
"
Iowa ",614 ,"
","
11  ", ,"
585 ","
[1] [2] [3]  "
"
Kansas ",552 ,"
","
13 ", ,"
539 ","
[1] [2] [3]  "
"
New Hampshire ",479 ,"
","
5 ", ,"
383 ","
[1] [2] [3]  "
"
New Mexico ",403 ,"
","
7 ", ,"
396 ","
[1] [2]  "
"
Delaware ",393 ,"
","
12 ", ,"
332 ","
[1] [2] [3]  "
"
Maine ",376 ,"
","
7 ", ,"
275 ","
[1] [2]  "
"
Vermont ",338 ,"
","
17 ", ,"
321 ","
[1]  "
"
Hawaii ",285 ,"
","
1 ", ,"
226 ","
[1]  "
"
Nebraska ",246 ,"
","
5 ", ,"
241 ","
[1] [2] [3]  "
"
Montana ",241 ,"
+14 ","
6 ", ,"
235 ","
[1] [2] [3]  "
"
West Virginia ",217 ,"
","
2 ", ,"
215 ","
[1]  "
"
South Dakota ",165 ,"
","
2 ", ,"
106 ","
[1]  "
"
North Dakota ",159 ,"
","
3 ", ,"
113 ","
[1]  "
"
Alaska ",151 ,"
+8 ","
3 ", ,"
148 ","
[1] [2]  "
"
Wyoming ",150 ,"
","
", ,"
124 ","
[1] [2]  "
"
Guam ",82 ,"
","
3 ", ,"
72 ","
[1] [2]  "
"
Northern Mariana Islands ",8 ,"
","
1 ", ,"
7 ","
[1]  "
"
Puerto Rico ",316 ,"
","
12 ", ,"
300 ","
[1] [2] [3] [4]  "
"
United States Virgin Islands ",30 ,"
","
", ,"
9 ","
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ","
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ","
"
Total:,"245,193",316,"6,088",18,"228,702", 
